file,size,team,year,type,s1_Takim Semasi,s2_Proje Mevcut Durum Degerlendirmesi,s3_Algoritmalar ve Sistem Mimari,s4_Ozgunluk,s5_Sonuclar ve Inceleme,s6_Kaynakca
KTR_00_YXpGnt7IevOLKmM75xNlXyQlgHmz2bTM.pdf,1009445,Glieser,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_01_zrY5U4C9Q5AVFoTXPPQd6mkXHSI9dJhW.pdf,2742017,ADYU AI TEAM,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_02_KNkPuw59vXjJHpyhOYLjwcGAgOdpczsi.pdf,1612709,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_03_txpOUmeMSSd4dZd3cpyj6BbSbxPTlCM8.pdf,1771297,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_04_5j08MAXDiofjTNfVPzwdaJow1BYgFOee.pdf,856776,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,farkli_isim,birebir,birebir,birebir
KTR_05_wtmRZm4MhC574IKE2Q5tKz6iVoGpi3mQ.pdf,2501546,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_06_kvMWDRPa1Pi55wGXnSo9yZo8wgGm8pcW.pdf,1695935,DetectionByAI,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_07_7QDnn4Qr0TRWTHCX5d98rPkAgEjaMoOR.pdf,1126768,AI-LE,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_08_PhJX36PYmJso87uscHkQSwbe2P7HyFbs.pdf,1762477,AI Tech,2022,KTR (Kritik Tasarım) *,birebir,birebir,birebir,birebir,birebir,birebir
KTR_09_XIwlxnIj0t24f4Xxd0z6a03NhH6W6vLZ.pdf,12774465,(kapak görselinde),2022*,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_10_ciRwIDWIaOxqJIKpWWiOhRJtR09vc6y1.pdf,1948686,RACLAB - Turing Mind,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_11_XN3irtTmrPIFh7XT1wcloyEvTnK2u5Dz.pdf,1559426,springnovaAI,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_12_iG0MdwwmzU4g74omya3paxGSLfsqawqd.pdf,1970683,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,yok
KTR_13_R1bVfdsapUpMaHHTj8runrvxXZPt1Mr4.pdf,1117840,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,farkli_isim
KTR_14_mYMgQVHFDGJqLncIfpFW4OKvkqwM96ep.pdf,1516267,MilAT 1453 Elektromobil,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,farkli_isim
KTR_15_4k2FVqOfaCfxYKJLrpEduZhILYvhYW0J.pdf,1652937,AVION AI,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_16_kRhara5Tb6U5EWrKcWkcIcsEdHwDYA2F.pdf,1540970,LunAI,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_17_91yI3aDgAPHFwnrRx3TBY3kNO6Y48EGE.pdf,1118237,Ai Lab - Horizon,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_18_ThRW9IbNhUKMh8fANceZc0P4TaBHWqwR.pdf,1032709,ZeroAlpha,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_19_0mvRqixk03djgu1UrRFdWrvwWWcEjIi2.pdf,1399067,Bingöl STEM RoboKulüp,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_20_JMB67U7wfZYWXD65OSxabwA7rv5Hsyjw.pdf,3075768,DEEP TEACHING,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_21_h5xJMAQfOceQQbpkNS6cezeqwtvtjoFr.pdf,1367080,WENN,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_22_AGMSZHBzFTW5FoWHy7FHSth9bgCOEJsD.pdf,9514358,zekAi,2022*,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,farkli_isim
KTR_23_j1Nfb9YL0SUBqWlCCYHRGvrcDIdhPa6n.pdf,1164331,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_24_ppgZZS6b4CrKprhu6cuOJQwqHkNVknl8.pdf,1908666,GÖKKURT-YZ,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_25_mqY8OwK4x2T4xXeEceNXRYVXlz3lDVJx.pdf,1507713,FEZA,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_26_kqeaSKZEHQpKs00OQw9iHF1jJTLdCAHw.pdf,3645967,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_27_9OlaL8VeAetlANzPM1HRVDp8y1FgfimY.pdf,1307502,SümerZEKA,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_28_Drqw2FARe7diF94uDk8p0x4T7S7Fai3W.pdf,1501832,(kapak görselinde),2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_29_TukyVpqUdSdAoV19zdQB7TyplqHFZUoc.pdf,1455315,T-KOD SOFTWARE,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_30_GVGN9sj0Fxcrd5kXJrSWsGXGuvgqD3zt.pdf,1123337,Semruk,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_31_mRjj7NeL6sSOCiGQtQT9oje9rFfum0Sr.pdf,1362420,SPATIUM Vision,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_32_pDBiIN4AcPBQT2027y5nULXC635XFS8s.pdf,13107734,EFLATUN AI,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
KTR_33_ob0lHS4qCQbKKk44ufYmvkVVzq63Wmjs.pdf,12948197,Minik Şef,2022,KTR (Kritik Tasarım),birebir,birebir,birebir,birebir,birebir,birebir
