no,dosya,takim,yil,tur,boyut_mb,yerel_dosya
1,KTR_00_YXpGnt7IevOLKmM75xNlXyQlgHmz2bTM.pdf,Glieser,2022,KTR (Kritik Tasarım),1.01,ktr/reports/KTR_00_YXpGnt7IevOLKmM75xNlXyQlgHmz2bTM.pdf
2,KTR_01_zrY5U4C9Q5AVFoTXPPQd6mkXHSI9dJhW.pdf,ADYU AI TEAM,2022,KTR (Kritik Tasarım),2.74,ktr/reports/KTR_01_zrY5U4C9Q5AVFoTXPPQd6mkXHSI9dJhW.pdf
3,KTR_02_KNkPuw59vXjJHpyhOYLjwcGAgOdpczsi.pdf,(kapak görselinde),2022,KTR (Kritik Tasarım),1.61,ktr/reports/KTR_02_KNkPuw59vXjJHpyhOYLjwcGAgOdpczsi.pdf
4,KTR_03_txpOUmeMSSd4dZd3cpyj6BbSbxPTlCM8.pdf,(kapak görselinde),2022,KTR (Kritik Tasarım),1.77,ktr/reports/KTR_03_txpOUmeMSSd4dZd3cpyj6BbSbxPTlCM8.pdf
5,KTR_04_5j08MAXDiofjTNfVPzwdaJow1BYgFOee.pdf,(kapak görselinde),2022,KTR (Kritik Tasarım),0.86,ktr/reports/KTR_04_5j08MAXDiofjTNfVPzwdaJow1BYgFOee.pdf
6,KTR_05_wtmRZm4MhC574IKE2Q5tKz6iVoGpi3mQ.pdf,(kapak görselinde),2022,KTR (Kritik Tasarım),2.5,ktr/reports/KTR_05_wtmRZm4MhC574IKE2Q5tKz6iVoGpi3mQ.pdf
7,KTR_06_kvMWDRPa1Pi55wGXnSo9yZo8wgGm8pcW.pdf,DetectionByAI,2022,KTR (Kritik Tasarım),1.7,ktr/reports/KTR_06_kvMWDRPa1Pi55wGXnSo9yZo8wgGm8pcW.pdf
8,KTR_07_7QDnn4Qr0TRWTHCX5d98rPkAgEjaMoOR.pdf,AI-LE,2022,KTR (Kritik Tasarım),1.13,ktr/reports/KTR_07_7QDnn4Qr0TRWTHCX5d98rPkAgEjaMoOR.pdf
9,KTR_08_PhJX36PYmJso87uscHkQSwbe2P7HyFbs.pdf,AI Tech,2022,KTR (Kritik Tasarım) *,1.76,ktr/reports/KTR_08_PhJX36PYmJso87uscHkQSwbe2P7HyFbs.pdf
10,KTR_09_XIwlxnIj0t24f4Xxd0z6a03NhH6W6vLZ.pdf,(kapak görselinde),2022*,KTR (Kritik Tasarım),12.77,ktr/reports/KTR_09_XIwlxnIj0t24f4Xxd0z6a03NhH6W6vLZ.pdf
11,KTR_10_ciRwIDWIaOxqJIKpWWiOhRJtR09vc6y1.pdf,RACLAB - Turing Mind,2022,KTR (Kritik Tasarım),1.95,ktr/reports/KTR_10_ciRwIDWIaOxqJIKpWWiOhRJtR09vc6y1.pdf
12,KTR_11_XN3irtTmrPIFh7XT1wcloyEvTnK2u5Dz.pdf,springnovaAI,2022,KTR (Kritik Tasarım),1.56,ktr/reports/KTR_11_XN3irtTmrPIFh7XT1wcloyEvTnK2u5Dz.pdf
